Premium,Power,Cylinder_capacity,Value_vehicle,N_doors,Length,Weight,Age,Driving_experience,FuelType_D,FuelType_P
380.2,85,1229,16030.0,5,3.999,1105,49,29,0,1
250.52,87,1598,9927.0,4,4.25,1055,57,33,0,1
340.43,109,1396,16550.0,5,4.245,1168,78,24,0,1
335.82,130,1984,27330.0,4,4.547,1310,83,61,0,1
248.68,75,1390,8548.0,4,4.25,1050,73,47,0,1
437.32,90,1396,19390.0,5,4.3,1355,73,52,1,0
314.3,100,1396,16190.0,5,4.3,1110,78,49,0,1
461.41,103,1596,15205.61,3,3.984,1145,69,33,0,1
347.28,110,1590,17000.0,3,4.14,1154,66,46,0,1
350.3,140,2204,26400.0,4,4.665,1400,82,61,1,0
265.69,136,1998,22400.0,5,4.259,1400,81,60,0,1
346.47,110,1968,20720.0,5,4.199,1266,79,38,1,0
250.46,115,2820,19340.57,5,4.845,1995,81,50,1,0
274.61,100,1896,15571.0,5,3.953,1165,80,60,1,0
431.93,90,1598,19550.0,5,4.315,1365,65,38,1,0
328.02,115,2799,24063.94,2,5.584,2223,64,41,1,0
229.88,75,1248,13950.0,3,3.999,1130,77,37,1,0
283.09,109,2148,33036.8,5,5.223,1795,62,44,1,0
322.56,116,1995,18700.0,5,4.2,1290,63,27,1,0
318.97,110,1686,21465.0,5,4.419,1428,59,39,1,0
304.47,110,1995,19390.0,5,4.52,1340,83,55,1,0
326.33,110,1910,16400.0,5,4.253,1305,83,55,1,0
235.64,100,1991,18400.0,5,4.597,1427,42,24,0,1
257.65,75,2199,33400.0,3,4.57,1653,73,49,0,1
267.39,115,1596,23900.0,5,4.227,1245,38,19,0,1
271.23,78,2476,14153.84,4,4.74,1425,65,45,1,0
357.46,75,1248,17971.0,4,4.322,1115,65,46,1,0
363.9,90,1781,11449.28,3,4.02,1020,62,38,0,1
291.71,84,1598,14896.95,5,4.11,1120,80,52,0,1
241.73,115,2188,19532.89,5,4.51,1475,84,60,1,0
374.24,136,1997,23450.0,5,4.333,1431,65,46,1,0
689.93,150,1997,47527.49,5,5.309,2070,61,42,1,0
376.67,150,3996,69000.0,5,4.638,2260,61,42,1,0
152.97,95,1794,16167.23,5,4.51,1225,56,38,0,1
264.38,95,2499,40220.0,5,5.096,1892,56,38,0,1
462.39,82,1199,13910.0,5,3.962,1035,53,33,0,1
257.17,75,1997,20878.68,4,4.43,1180,83,64,1,0
286.23,105,1896,21090.0,5,4.204,1287,81,61,1,0
339.73,160,2230,25370.0,4,4.676,1480,79,29,0,1
264.88,100,1596,12561.15,5,4.174,1077,68,25,0,1
233.17,110,1997,23285.0,5,4.618,1385,67,48,1,0
262.16,90,1461,22900.0,3,4.695,1398,64,33,0,1
376.64,90,1590,18000.0,3,4.285,1167,64,33,0,1
175.27,90,1587,19460.0,3,4.211,1204,64,33,0,1
236.0,90,1590,16100.0,3,4.285,1149,64,33,0,1
208.46,109,2982,27282.41,2,5.993,2015,65,46,1,0
269.15,90,1587,14043.67,5,4.167,1078,64,42,0,1
240.72,90,1997,17205.0,5,4.188,1200,64,39,1,0
266.42,90,1599,18250.0,5,4.395,1233,64,39,1,0
362.76,121,1991,17200.0,4,4.515,1285,61,42,1,0
409.24,86,1905,14454.34,2,3.995,1080,63,37,1,0
441.7,86,2953,20225.79,2,4.615,1802,63,37,1,0
322.52,90,1896,15995.0,5,4.184,1266,73,33,1,0
351.36,130,1956,24400.0,5,4.83,1538,53,35,1,0
367.66,75,1360,13269.0,4,4.108,1125,84,53,0,1
322.18,90,1560,21005.0,5,4.276,1290,45,25,1,0
240.53,95,1390,13733.13,2,3.931,1045,80,35,0,1
468.92,120,1560,29770.01,5,4.365,1420,72,16,1,0
358.7,109,1991,27625.0,5,4.273,1360,71,48,1,0
271.74,90,1896,17270.0,5,4.184,1232,69,51,1,0
257.37,90,1998,22375.68,4,4.63,1280,68,49,1,0
235.77,80,1598,19100.0,5,4.249,1195,78,58,0,1
299.32,110,1997,22780.0,5,4.522,1512,64,46,1,0
479.03,90,1560,16645.0,5,4.013,1096,77,52,1,0
300.9,90,1905,18418.14,5,4.84,1435,77,49,1,0
319.88,88,2148,21796.4,5,4.748,1770,66,48,1,0
268.41,115,1753,18705.0,3,4.342,1388,59,40,1,0
291.51,100,2663,23138.97,5,4.697,1850,67,33,1,0
149.45,110,1998,14123.78,5,4.468,1224,65,45,0,1
613.77,140,1997,29700.0,5,4.443,1539,48,18,1,0
293.46,95,1560,20270.0,5,4.818,1614,57,38,1,0
471.31,95,1399,11890.0,5,4.31,1047,57,38,1,0
