Premium,Value_vehicle,Length,Weight,Age,Driving_experience
380.2,16030.0,3.999,1105,49,29
250.52,9927.0,4.25,1055,57,33
340.43,16550.0,4.245,1168,78,24
335.82,27330.0,4.547,1310,83,61
248.68,8548.0,4.25,1050,73,47
437.32,19390.0,4.3,1355,73,52
314.3,16190.0,4.3,1110,78,49
461.41,15205.61,3.984,1145,69,33
347.28,17000.0,4.14,1154,66,46
350.3,26400.0,4.665,1400,82,61
265.69,22400.0,4.259,1400,81,60
346.47,20720.0,4.199,1266,79,38
250.46,19340.57,4.845,1995,81,50
274.61,15571.0,3.953,1165,80,60
431.93,19550.0,4.315,1365,65,38
328.02,24063.94,5.584,2223,64,41
229.88,13950.0,3.999,1130,77,37
283.09,33036.8,5.223,1795,62,44
322.56,18700.0,4.2,1290,63,27
318.97,21465.0,4.419,1428,59,39
304.47,19390.0,4.52,1340,83,55
326.33,16400.0,4.253,1305,83,55
235.64,18400.0,4.597,1427,42,24
257.65,33400.0,4.57,1653,73,49
267.39,23900.0,4.227,1245,38,19
271.23,14153.84,4.74,1425,65,45
357.46,17971.0,4.322,1115,65,46
363.9,11449.28,4.02,1020,62,38
291.71,14896.95,4.11,1120,80,52
241.73,19532.89,4.51,1475,84,60
374.24,23450.0,4.333,1431,65,46
689.93,47527.49,5.309,2070,61,42
376.67,69000.0,4.638,2260,61,42
152.97,16167.23,4.51,1225,56,38
264.38,40220.0,5.096,1892,56,38
462.39,13910.0,3.962,1035,53,33
257.17,20878.68,4.43,1180,83,64
286.23,21090.0,4.204,1287,81,61
339.73,25370.0,4.676,1480,79,29
264.88,12561.15,4.174,1077,68,25
233.17,23285.0,4.618,1385,67,48
262.16,22900.0,4.695,1398,64,33
376.64,18000.0,4.285,1167,64,33
175.27,19460.0,4.211,1204,64,33
236.0,16100.0,4.285,1149,64,33
208.46,27282.41,5.993,2015,65,46
269.15,14043.67,4.167,1078,64,42
240.72,17205.0,4.188,1200,64,39
266.42,18250.0,4.395,1233,64,39
362.76,17200.0,4.515,1285,61,42
409.24,14454.34,3.995,1080,63,37
441.7,20225.79,4.615,1802,63,37
322.52,15995.0,4.184,1266,73,33
351.36,24400.0,4.83,1538,53,35
367.66,13269.0,4.108,1125,84,53
322.18,21005.0,4.276,1290,45,25
240.53,13733.13,3.931,1045,80,35
468.92,29770.01,4.365,1420,72,16
358.7,27625.0,4.273,1360,71,48
