ID,Date_birth,Date_driving_licence,Premium,Power,Cylinder_capacity,Value_vehicle,N_doors,Type_fuel,Length,Weight
374,1942-12-27,1970-04-29,80.02,129,4525,42920.0,3,D,4.355,4525
477,1954-07-21,1972-09-04,41.98,110,1968,16500.0,5,D,4.408,1457
487,1959-01-07,1983-07-15,73.64,84,1587,17640.0,5,P,4.211,1187
617,1960-12-11,1996-06-03,72.09,105,1896,20500.0,5,D,4.469,1430
804,1971-05-26,1990-07-27,68.22,90,1360,17020.0,5,P,4.26,1182
1088,1956-12-07,1975-07-26,45.93,100,1998,23410.0,5,D,5.201,1725
1191,1962-09-28,1992-03-10,81.04,130,2179,38710.0,5,D,4.727,1708
1229,1952-06-09,1978-06-09,62.26,150,2496,7362.4,4,P,4.9,1440
1229,1952-06-09,1978-06-09,59.9,150,2496,7362.4,4,P,4.9,1440
1229,1952-06-09,1978-06-09,61.4,150,2496,7362.4,4,P,4.9,1440
1261,1955-04-17,1978-06-23,57.55,84,1248,18050.01,5,P,4.14,1145
1375,1977-12-07,1997-12-07,81.34,112,1560,26390.0,5,D,4.59,1455
1842,1945-05-01,1971-03-01,75.43,71,2970,25520.0,3,D,4.355,1850
1842,1945-05-01,1971-03-01,75.43,71,2970,25520.0,3,D,4.355,1850
1842,1945-05-01,1971-03-01,75.81,71,2970,25520.0,3,D,4.355,1850
1922,1978-03-16,1998-01-10,68.78,125,1149,9680.0,2,D,4.057,1105
2334,1963-09-01,1982-03-02,74.89,90,1905,15587.15,5,D,4.167,1152
2379,1964-10-12,1982-11-17,60.28,136,2307,30802.83,4,P,4.755,1360
2422,1963-11-04,1982-05-27,51.36,75,1248,16455.0,5,D,3.959,1125
2711,1972-02-01,1990-07-01,62.81,90,4400,42185.0,3,D,4.355,4800
2711,1972-02-01,1990-07-01,63.13,90,4400,42185.0,3,D,4.355,4800
2711,1972-02-01,1990-07-01,63.45,90,4400,42185.0,3,D,4.355,4800
2754,1972-01-10,1990-11-30,56.48,95,1598,2734.61,4,P,4.264,1015
2754,1972-01-10,1990-11-30,59.01,95,1598,2734.61,4,P,4.264,1015
2754,1972-01-10,1990-11-30,60.78,95,1598,2734.61,4,P,4.264,1015
2776,1973-11-09,1995-06-14,61.74,140,2664,23573.0,5,D,4.217,1745
2847,1976-01-06,1994-05-02,78.86,112,1991,25650.0,5,D,4.5,1720
2982,1959-03-27,1982-01-14,73.81,100,1956,32941.97,5,D,4.963,1845
3360,1950-05-01,1990-07-01,53.78,97,1388,15315.0,5,P,3.95,1098
3618,1943-10-17,1963-10-21,78.3,100,1995,16140.0,3,D,4.11,1290
3947,1960-05-04,1979-02-14,66.49,110,1968,20720.0,5,D,4.199,1266
4088,1963-07-22,1981-12-21,64.87,90,1197,16274.68,5,P,3.972,1107
4437,1970-05-25,1993-02-12,46.83,88,1386,13600.0,5,P,4.083,1092
4533,1971-02-07,1989-02-07,70.36,115,1796,15548.18,5,P,4.11,1230
5220,1982-09-04,2005-05-02,61.17,129,1870,22343.0,3,D,4.005,1495
5342,1988-05-02,2008-04-16,53.62,92,1560,18780.0,5,D,3.962,1155
5846,1979-03-01,2000-03-04,56.72,130,1870,24150.0,5,D,4.259,1430
6618,1968-06-15,1988-08-12,40.4,90,2996,31183.51,5,D,4.74,1390
6625,1968-08-01,1987-09-21,66.36,100,1596,17590.0,4,P,4.481,1174
6668,1970-06-25,1996-06-05,77.36,75,1560,19460.0,5,D,4.137,1219
7154,1983-10-16,2001-12-07,56.21,120,1870,23210.0,5,D,4.259,1430
7422,1942-07-04,1966-10-27,42.04,136,1998,22050.0,5,D,4.333,1431
7511,1948-02-01,1985-07-08,46.69,109,2148,28034.88,5,D,5.223,1890
7940,1961-05-02,1979-06-18,45.45,115,1197,21140.0,5,P,4.135,1236
7961,1960-07-24,1979-02-11,44.41,100,1461,20810.0,5,D,4.259,1340
8045,1963-04-13,1981-07-28,52.57,105,1197,21730.0,5,P,4.535,1247
8064,1963-08-20,1982-06-14,41.1,123,1560,20820.0,5,P,4.202,1244
8196,1965-06-30,1984-07-24,50.64,90,1598,17000.0,5,D,4.227,1150
8225,1967-04-08,1987-04-30,59.31,130,1198,23382.01,5,P,4.406,1430
8501,1971-02-01,1989-07-01,68.69,102,1598,18430.0,2,D,4.52,1200
8660,1973-02-04,2005-10-13,62.73,90,1587,14043.67,5,P,4.167,1078
8791,1977-07-07,1998-02-10,43.31,133,1996,18018.34,4,P,4.724,1436
9106,1984-05-20,2003-09-25,43.89,100,1753,18010.0,5,D,4.174,1216
9851,1981-07-14,2007-04-04,65.69,100,1596,18470.0,5,P,4.333,1297
10180,1957-06-29,1975-09-25,58.44,90,1396,18950.54,5,D,4.31,1365
10440,1987-08-29,2006-05-02,63.63,80,1149,13050.0,5,P,3.986,1090
