ID,Date_birth,Date_driving_licence,Premium,Power,Cylinder_capacity,Value_vehicle,N_doors,Type_fuel,Length,Weight
2511,1967-11-27,1986-07-10,262.55,105,1395,450.76,3,P,4.24,1350
2511,1967-11-27,1986-07-10,270.43,105,1395,450.76,3,P,4.24,1350
2511,1967-11-27,1986-07-10,271.8,105,1395,450.76,3,P,4.24,1350
2754,1972-01-10,1990-11-30,56.48,95,1598,2734.61,4,P,4.264,1015
2754,1972-01-10,1990-11-30,59.01,95,1598,2734.61,4,P,4.264,1015
2754,1972-01-10,1990-11-30,60.78,95,1598,2734.61,4,P,4.264,1015
9578,1941-02-22,1967-12-15,89.99,118,1758,1502.53,2,P,4.042,1020
9578,1941-02-22,1967-12-15,94.04,118,1758,1502.53,2,P,4.042,1020
9578,1941-02-22,1967-12-15,94.04,118,1758,1502.53,2,P,4.042,1020
43437,1951-07-24,1969-08-20,327.36,80,1588,4417.44,5,D,4.57,1380
43437,1951-07-24,1969-08-20,329.0,80,1588,4417.44,5,D,4.57,1380
43437,1951-07-24,1969-08-20,333.94,80,1588,4417.44,5,D,4.57,1380
45642,1982-01-07,2002-04-29,61.18,98,1647,4207.08,2,P,4.24,1060
